Anchor_Name,Anchor_Color,Cheapest_Retailer,Min_Price,Price_Spread,Spread_Pct,FPT_Price,CPS_Price,HoangHa_Price,Viettel_Price,DDV_Price,MW_Price
iPad Air 11 inch M3 2025 WiFi 128GB,Xám không gian,DDV,13790000.0,4700000.0,34.1,15790000,15790000.0,14990000.0,18490000.0,13790000.0,15790000.0
iPad Air 11 inch M2 2024 Wifi + Cellular 128GB,Xanh dương,DDV,13490000.0,11000000.0,81.5,17990000,15890000.0,14990000.0,24490000.0,13490000.0,19090000.0
iPad Air 5 2022 10.9 inch M1 WiFi 5G 64GB,Trắng,DDV,13790000.0,12700000.0,92.1,20990000,18790000.0,22890000.0,26490000.0,13790000.0,24490000.0
iPad A16 WiFi 128GB,Xanh dương,"FPT, CPS, DDV, MW",8490000.0,200000.0,2.4,8490000,8490000.0,8690000.0,8690000.0,8490000.0,8490000.0
"iPad A16 WiFi + Cellular 128GB (Gen 11) 2025 chính hãng, góp 0%",Bạc,"CPS, MW",8490000.0,4500000.0,53.0,12990000,8490000.0,10990000.0,8690000.0,11390000.0,8490000.0
iPad Air 11 inch M3 2025 WiFi 128GB,Ánh Sao,DDV,13790000.0,10700000.0,77.6,15790000,15790000.0,14990000.0,24490000.0,13790000.0,15790000.0
iPad Air 11 inch M3 2025 WiFi + Cellular 128GB,Xanh dương,DDV,13790000.0,10700000.0,77.6,20290000,15890000.0,14990000.0,24490000.0,13790000.0,15790000.0
iPad Air 5 2022 10.9 inch M1 WiFi 5G 64GB,Xám,DDV,13790000.0,12700000.0,92.1,20990000,24290000.0,22890000.0,26490000.0,13790000.0,20490000.0
iPad A16 WiFi 128GB,Hồng,FPT,8490000.0,2900000.0,34.2,8490000,8690000.0,8690000.0,8690000.0,11390000.0,8690000.0
iPad A16 5G 128GB,Hồng,DDV,8590000.0,4400000.0,51.2,12990000,12990000.0,12490000.0,8690000.0,8590000.0,12990000.0
"iPad Air M2 11 inch 2024 Wifi | Mạnh mẽ, sang trọng",Tím,DDV,13790000.0,12700000.0,92.1,16990000,18790000.0,22890000.0,26490000.0,13790000.0,19090000.0
iPad Air 11 inch M3 2025 WiFi 128GB,Xanh dương,DDV,13490000.0,11000000.0,81.5,15790000,15790000.0,14990000.0,24490000.0,13490000.0,15790000.0
iPad Air 11 inch M3 2025 WiFi + Cellular 128GB,Ánh Sao,DDV,13490000.0,11000000.0,81.5,20290000,15890000.0,14990000.0,24490000.0,13490000.0,15790000.0
iPad Air 13 inch M3 2025 WiFi 128GB,Ánh Sao,DDV,13490000.0,9500000.0,70.4,21190000,21390000.0,19990000.0,22990000.0,13490000.0,21790000.0
iPad Air 5 2022 10.9 inch M1 WiFi 5G 64GB,Hồng,DDV,12490000.0,14000000.0,112.1,20990000,24290000.0,26190000.0,26490000.0,12490000.0,19090000.0
iPad A16 WiFi 128GB,Vàng,"HoangHa, DDV",8490000.0,200000.0,2.4,8690000,8690000.0,8490000.0,8690000.0,8490000.0,8690000.0
iPad A16 5G 128GB,Vàng,DDV,8590000.0,4400000.0,51.2,12990000,12990000.0,12490000.0,8690000.0,8590000.0,12990000.0
iPad Air 11 inch M2 2024 Wifi 128GB,Trắng,Viettel,8690000.0,8300000.0,95.5,16990000,15890000.0,14990000.0,8690000.0,13790000.0,15790000.0
iPad Air 11 inch M3 2025 WiFi 128GB,Tím,DDV,13790000.0,10700000.0,77.6,15790000,15890000.0,14990000.0,24490000.0,13790000.0,15790000.0
iPad Air 11 inch M3 2025 WiFi + Cellular 128GB,Tím,DDV,13790000.0,10700000.0,77.6,20290000,15890000.0,14990000.0,24490000.0,13790000.0,15790000.0
iPad Air 13 inch M3 2025 WiFi 128GB,Tím,DDV,13790000.0,10700000.0,77.6,21190000,21390000.0,19990000.0,24490000.0,13790000.0,21790000.0
iPad Air 5 2022 10.9 inch M1 WiFi 5G 64GB,Xanh dương,DDV,13790000.0,12700000.0,92.1,20990000,24290000.0,22890000.0,26490000.0,13790000.0,24490000.0
iPad Air 11 inch M2 2024 Wifi 128GB,Xám,Viettel,8690000.0,8300000.0,95.5,16990000,15790000.0,14990000.0,8690000.0,13490000.0,15790000.0
iPad Air 13 inch M3 2025 WiFi + Cellular 128GB,Tím,DDV,13790000.0,11700000.0,84.8,25490000,21390000.0,19990000.0,24490000.0,13790000.0,21790000.0
"iPad Air 11 M3 WiFi + Cellular 128GB 2025 giá rẻ, góp 0%",Xám không gian,DDV,13790000.0,6500000.0,47.1,20290000,15890000.0,14990000.0,18490000.0,13790000.0,19090000.0
