Product Name;Lowest Price;Promo Price @ FPT;Promo Price @ FPT + VNPay;Promo Price @ MW;Promo Price @ MW + VNPay;Promo Price @ TopZone;Promo Price @ TZ + VNPay;Promo Price @ VT;Promo Price @ VT + VNPay;Promo Price @ SD;Promo Price @ SD + VNPay;Promo Price @ HH;Promo Price @ HH + VNPay;Promo Price @ DDV;Promo Price @ CPS;Promo Price @ CPS + VNPAY;Promo Price @ Tiki;Promo Price @ Shopee;Stock @ FPT;Stock @ MW;Stock @ TopZone;Stock @ VT;Stock @ SD;Stock @ HH;Stock @ DDV;Stock @ CPS;Stock @ Tiki;Stock @ Shopee;Date
iPad Air 5 2022 10.9 inch M1 WiFi 5G 256GB;21.490.000;23.990.000;23.590.000;24.290.000;24.290.000;24.290.000;24.290.000;temporary OOS;temporary OOS;22.990.000;22.490.000;21.990.000;21.490.000;23.490.000;22.990.000;;not trading;not trading;No;No;No;No;Yes;No;No;No;not trading;not trading;2022-08-01
iPad Air 5 2022 10.9 inch M1 WiFi 64GB;14.620.500;15.990.000;15.590.000;16.790.000;16.790.000;15.790.000;15.290.000;15.390.000;14.620.500;15.190.000;14.690.000;15.490.000;15.240.000;15.490.000;15.590.000;;15.450.000;not trading;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
iPad Air 5 2022 10.9 inch M1 WiFi 256GB;17.740.000;19.990.000;19.590.000;20.790.000;20.790.000;20.190.000;19.690.000;not trading;not trading;18.790.000;18.290.000;17.990.000;17.740.000;18.890.000;18.590.000;;not trading;not trading;Yes;No;Yes;not trading;Yes;Yes;Yes;Yes;not trading;not trading;2022-08-01
iPad Air 10.9 2020 WiFi + Cellular 64GB;14.990.000;16.499.000;16.099.000;16.490.000;16.490.000;16.490.000;16.490.000;15190000;15190000;14.990.000;14.990.000;15.990.000;15.740.000;21.790.000;15.990.000;;not trading;not trading;Yes;No;No;Yes;Yes;Yes;No;Yes;not trading;not trading;2022-08-01
iPad Air 10.9 2020 WiFi + Cellular 256GB;18.490.000;not trading;not trading;18.990.000;18.490.000;18.990.000;18.490.000;not trading;not trading;18.990.000;18.890.000;19.490.000;19.240.000;26.290.000;18.990.000;;not trading;not trading;not trading;Yes;Yes;not trading;Yes;Yes;No;Yes;not trading;not trading;2022-08-01
iPad Air 10.9 2020 WiFi 64GB;12.690.000;not trading;not trading;13.590.000;13.590.000;13.590.000;13.590.000;12.690.000;12.690.000;13.590.000;13.490.000;13.890.000;13.640.000;13.290.000;14.190.000;;not trading;not trading;not trading;No;No;Yes;Yes;Yes;No;Yes;not trading;not trading;2022-08-01
iPad Air 10.9 2020 WiFi 256GB;15.740.000;not trading;not trading;17.990.000;17.990.000;17.990.000;17.990.000;not trading;not trading;15.990.000;15.890.000;15.990.000;15.740.000;22.390.000;17.590.000;;not trading;not trading;not trading;No;No;not trading;Yes;No;No;No;not trading;not trading;2022-08-01
iPad 10.2 2021 WiFi + Cellular 64GB;11.090.000;11.890.000;11.490.000;12.190.000;11.690.000;11.590.000;11.090.000;11.690.000;11.105.500;11.190.000;11.190.000;11.790.000;11.540.000;11.890.000;11.390.000;;11.480.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
iPad 10.2 2021 WiFi + Cellular 256GB;14.740.000;15.990.000;15.590.000;16.290.000;16.290.000;16.190.000;15.690.000;16.290.000;15.475.500;14.990.000;14.890.000;14.990.000;14.740.000;16.390.000;15.990.000;;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;not trading;not trading;2022-08-01
iPad 10.2 2021 WiFi 64GB;8.160.500;8.990.000;8.590.000;9.290.000;9.290.000;8.690.000;8.190.000;8.590.000;8.160.500;8.190.000;8.190.000;8.490.000;8.240.000;8.590.000;8.490.000;;8.580.000;11.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-08-01
iPad 10.2 2021 WiFi 256GB;11.690.000;12.490.000;12.090.000;12.790.000;12.790.000;12.190.000;11.690.000;12.390.000;11.890.000;12.390.000;12.290.000;12.490.000;12.240.000;12.590.000;11.990.000;;not trading;13.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;No;2022-08-01
iPad mini 8.3 2021 WiFi 5G 64GB;15.240.000;17.390.000;16.990.000;17.690.000;17.690.000;15.890.000;15.390.000;16.490.000;15.665.500;15.990.000;15.890.000;15.490.000;15.240.000;15.990.000;15.290.000;;16.420.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
iPad mini 8.3 2021 WiFi 5G 256GB;17.990.000;20.190.000;19.790.000;19.790.000;19.290.000;19.790.000;19.790.000;22.990.000;22.990.000;19.590.000;19.490.000;19.690.000;19.440.000;19.290.000;17.990.000;;not trading;not trading;No;Yes;No;Yes;Yes;No;No;Yes;not trading;not trading;2022-08-01
iPad mini 8.3 2021 WiFi 64GB;12.530.500;13.690.000;13.290.000;13.990.000;13.490.000;13.990.000;13.490.000;13.190.000;12.530.500;13.190.000;13.090.000;13.190.000;12.940.000;13.190.000;13.190.000;;13.190.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
iPad mini 8.3 2021 WiFi 256GB;15.690.000;18.490.000;18.090.000;18.490.000;17.990.000;16.190.000;15.690.000;18.990.000;18.990.000;16.290.000;16.190.000;16.690.000;16.440.000;16.790.000;15.990.000;;not trading;not trading;Yes;Yes;Yes;Yes;Yes;No;No;Yes;not trading;not trading;2022-08-01
"MacBook Pro 16"" 2021 M1 Pro 512GB";57.990.000;59.490.000;59.090.000;62.190.000;61.890.000;61.990.000;61.990.000;update later;update later;58.990.000;58.990.000;59.000.000;58.500.000;62.590.000;57.990.000;;59680000;not trading;Yes;Yes;Yes;update later;Yes;Yes;No;Yes;Yes;not trading;2022-08-01
"MacBook Pro 16"" 2021 M1 Pro 1TB";61.990.000;64.490.000;64.090.000;67.190.000;66.890.000;66.990.000;66.990.000;update later;update later;63.990.000;63.990.000;64.000.000;63.500.000;63.590.000;61.990.000;;64560000;not trading;Yes;Yes;Yes;update later;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
"MacBook Pro 14"" 2021 M1 Pro 512GB";47.500.000;48.690.000;48.290.000;50.190.000;49.890.000;49.990.000;49.990.000;update later;update later;47.790.000;47.790.000;48.000.000;47.500.000;47.590.000;47.690.000;;48.210.000;not trading;Yes;Yes;Yes;update later;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
"MacBook Pro 14"" 2021 M1 Pro 1TB";54.990.000;60.490.000;60.090.000;62.190.000;61.890.000;61.990.000;61.990.000;update later;update later;54.990.000;54.990.000;59.000.000;58.500.000;58.790.000;59.990.000;;57.760.000;not trading;Yes;Yes;Yes;update later;Yes;No;Yes;Yes;Yes;not trading;2022-08-01
MacBook Pro M2 2022 13 inch 8CPU 10GPU 8GB 256GB;30.790.000;33.990.000;33.590.000;33.490.000;33.190.000;33.290.000;33.290.000;not trading;not trading;31.990.000;31.990.000;31.290.000;30.790.000;30.890.000;31.590.000;;31.640.000;not trading;Yes;Yes;Yes;not trading;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
MacBook Pro M2 2022 13 inch 8CPU 10GPU 8GB 512GB;35.790.000;38.990.000;38.590.000;39.190.000;38.890.000;38.990.000;38.990.000;not trading;not trading;36.990.000;36.990.000;36.290.000;35.790.000;36.290.000;37.990.000;;37.160.000;not trading;Yes;Yes;Yes;not trading;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
MacBook Air M2 2022 13 inch 8CPU 8GPU 8GB 256GB;29.490.000;32.990.000;32.590.000;32.990.000;32.990.000;30.290.000;30.290.000;not trading;not trading;31.490.000;31.490.000;29.990.000;29.490.000;32.990.000;31.490.000;;not trading;not trading;Yes;No;Yes;not trading;No;No;No;No;not trading;not trading;2022-08-01
MacBook Air M2 2022 13 inch 8CPU 10GPU 8GB 512GB;36.490.000;39.990.000;39.590.000;39.990.000;39.990.000;36.990.000;36.990.000;not trading;not trading;38.490.000;38.490.000;36.990.000;36.490.000;38.990.000;38.490.000;;not trading;not trading;No;No;Yes;not trading;No;No;No;Pre-order;not trading;not trading;2022-08-01
"MacBook Pro 13"" 2020 Touch Bar M1 256GB";27.790.000;29.499.000;29.099.000;31.490.000;31.190.000;31.290.000;31.290.000;update later;update later;28.290.000;27.790.000;29.490.000;28.990.000;28.290.000;28.290.000;;28.940.000;29.900.000;Yes;Yes;Yes;update later;Yes;Yes;Yes;Yes;Yes;No;2022-08-01
"MacBook Pro 13"" 2020 Touch Bar M1 512GB";32.650.000;34.999.000;34.799.000;36.990.000;36.690.000;36.790.000;36.790.000;update later;update later;33.990.000;33.490.000;34.490.000;33.990.000;37.490.000;33.990.000;;32.650.000;35.500.000;Yes;Yes;Yes;update later;Yes;Yes;No;Yes;Yes;Yes;2022-08-01
"MacBook Air 13"" 2020 M1 256GB";21.490.000;22.999.000;22.799.000;24.990.000;24.690.000;24.790.000;24.790.000;update later;update later;22.490.000;21.990.000;21.990.000;21.490.000;22.590.000;22.890.000;;22.630.000;22.600.000;Yes;Yes;Yes;update later;Yes;Yes;Yes;Yes;Yes;Yes;2022-08-01
"MacBook Air 13"" 2020 M1 512GB";28.990.000;29.499.000;29.099.000;31.990.000;31.690.000;31.790.000;31.790.000;update later;update later;29.990.000;29.490.000;30.590.000;30.090.000;29.990.000;28.990.000;;28.990.000;35.990.000;No;Yes;Yes;update later;Yes;Yes;No;Yes;Yes;No;2022-08-01
Apple Watch Series 7 GPS + Cellular 45mm viền nhôm dây cao su;12.690.000;13.490.000;13.190.000;14.490.000;14.090.000;13.690.000;13.290.000;13.490.000;12.815.500;12.790.000;12.690.000;13.490.000;13.240.000;12.990.000;12.990.000;;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;not trading;2022-08-01
Apple Watch Series 7 GPS + Cellular 41mm viền nhôm dây cao su;11.865.500;12.890.000;12.590.000;12.990.000;12.590.000;13.490.000;13.090.000;12.490.000;11.865.500;11.990.000;11.890.000;12.990.000;12.740.000;11.990.000;12.190.000;;not trading;14.990.000;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;No;2022-08-01
Apple Watch Series 7 GPS 45mm viền nhôm dây cao su;9.965.500;10.990.000;10.690.000;11.290.000;10.890.000;11.290.000;10.890.000;10.490.000;9.965.500;10.390.000;10.290.000;10.890.000;10.640.000;10.790.000;10.990.000;;11.760.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
Apple Watch Series 7 GPS 41mm viền nhôm dây cao su;9.300.500;9.990.000;9.690.000;10.290.000;9.890.000;10.290.000;9.890.000;9.790.000;9.300.500;9.590.000;9.490.000;9.590.000;9.340.000;9.590.000;9.950.000;;10.050.000;10.590.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-08-01
Apple Watch SE GPS + Cellular 44mm viền nhôm dây cao su;7.890.000;8.899.000;8.599.000;9.490.000;9.090.000;8.990.000;8.590.000;temporary OOS;temporary OOS;7.990.000;7.890.000;8.690.000;8.440.000;9.590.000;8.490.000;;not trading;not trading;Yes;Yes;Yes;No;Yes;Yes;No;Yes;not trading;not trading;2022-08-01
Apple Watch SE GPS + Cellular 40mm viền nhôm dây cao su;7.590.000;8.399.000;8.099.000;not trading;not trading;not trading;not trading;temporary OOS;temporary OOS;8.290.000;8.190.000;7.690.000;7.590.000;8.590.000;7.890.000;;not trading;not trading;Yes;not trading;No;No;Yes;Yes;No;Yes;not trading;not trading;2022-08-01
Apple Watch SE GPS 44mm viền nhôm dây cao su;7.390.000;7.999.000;7.699.000;8.190.000;7.790.000;7.990.000;7.590.000;temporary OOS;temporary OOS;7.490.000;7.390.000;7.490.000;7.390.000;8.590.000;7.690.000;;not trading;7.990.000;Yes;Yes;Yes;No;Yes;Yes;No;Yes;not trading;Yes;2022-08-01
Apple Watch SE GPS 40mm viền nhôm dây cao su;6.390.000;6.999.000;6.699.000;7.190.000;6.790.000;6.890.000;6.490.000;6990000;6640500;6.890.000;6.790.000;6.590.000;6.490.000;6.490.000;6.390.000;;not trading;6.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;Yes;2022-08-01
Apple Watch Series 3 GPS 42mm viền nhôm dây cao su;5.290.000;5.749.000;5.449.000;5.890.000;5.490.000;5.790.000;5.390.000;not trading;not trading;5.390.000;5.290.000;5.590.000;5.490.000;update later;5.400.000;;5.290.000;5290000;Yes;Yes;Yes;not trading;Yes;Yes;update later;No;Yes;Yes;2022-08-01
Apple Watch Series 3 GPS 38mm viền nhôm dây cao su;4.490.000;4.799.000;4.499.000;4.990.000;4.590.000;4.890.000;4.490.000;temporary OOS;temporary OOS;4.790.000;4.690.000;4.790.000;4.690.000;update later;4.500.000;;not trading;4.590.000;Yes;Yes;Yes;No;Yes;Yes;update later;No;not trading;Yes;2022-08-01
AirPods Max;9.390.000;13.999.000;13.999.000;12.590.000;12.490.000;12.590.000;12.590.000;11.690.000;11.690.000;10.490.000;10.390.000;9.790.000;9.540.000;9.590.000;9.390.000;;14.990.000;13.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;2022-08-01
AirPods Pro 2021;4.490.000;4.799.000;4.799.000;5.390.000;5.290.000;5.390.000;5.390.000;4.890.000;4.840.000;4.690.000;4.590.000;4.590.000;4.490.000;4.690.000;4.750.000;;4.840.000;4.790.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-08-01
