SKU,Days_Tracked,First_Price_Avg,Last_Price_Avg,Change_Pct,Volatility,Min_Price_Seen,Max_Price_Seen
MacBook Air 13 M3 2024 8CPU/8GPU/16GB/256GB - Bạc,8,17742500.0,24550000.0,38.37,4005433.03,0.0,29990000.0
MacBook Air 13 M3 2024 8CPU/8GPU/16GB/256GB - Vàng,8,23740000.0,24573333.333333332,3.51,1158983.8,19490000.0,29990000.0
MacBook Air 13 M3 2024 8CPU/8GPU/16GB/256GB - Xanh Đen,8,20990000.0,23200000.0,10.53,1499320.96,19350000.0,29990000.0
MacBook Air 13 M3 2024 8CPU/8GPU/16GB/256GB - Xám,8,26040000.0,25666666.666666668,-1.43,993463.41,19350000.0,34490000.0
MacBook Air 15 inch M2 2023 8CPU 10GPU 8GB/256GB - Bạc,8,17742500.0,23683333.333333332,33.48,3714029.62,0.0,29990000.0
MacBook Air 15 inch M2 2023 8CPU 10GPU 8GB/256GB - Vàng,8,22865000.0,22906666.666666668,0.18,938179.07,19490000.0,29990000.0
MacBook Air 15 inch M2 2023 8CPU 10GPU 8GB/256GB - Xanh dương,8,22590000.0,22700000.0,0.49,929577.15,19350000.0,29990000.0
MacBook Air 15 inch M2 2023 8CPU 10GPU 8GB/256GB - Xám,8,16342500.0,17618333.333333332,7.81,2287301.61,0.0,29990000.0
MacBook Air 15 inch M2 2023 8CPU 10GPU/8GB/512GB/Sạc 70W - Vàng,6,27573333.333333332,28990000.0,5.14,4878698.01,0.0,37890000.0
MacBook Air 15 inch M2 2023 8CPU 10GPU/8GB/512GB/Sạc 70W - Xanh dương,15,29756666.666666668,27706666.666666668,-6.89,2501658.41,0.0,39490000.0
MacBook Pro 14 2023 M3 Pro 12 CPU/18 GPU/18GB/1TB - Bạc,7,47273333.333333336,41790000.0,-11.6,3374458.77,18590000.0,56990000.0
MacBook Pro 14 2023 M3 Pro 12 CPU/18 GPU/18GB/1TB - Đen,14,49870000.0,55790000.0,11.87,4467637.95,18590000.0,79090000.0
MacBook Pro 14 M4 Pro 2024 12CPU/16GPU/24GB/512GB - Bạc,7,51323333.333333336,53790000.0,4.81,4962922.05,23990000.0,79090000.0
MacBook Pro 14 M4 Pro 2024 12CPU/16GPU/24GB/512GB - Unknown,3,43923333.333333336,47640000.0,8.46,2023831.17,24590000.0,54990000.0
MacBook Pro 14 M4 Pro 2024 12CPU/16GPU/24GB/512GB - Đen,11,50806666.666666664,50090000.0,-1.41,3695860.47,19190000.0,63990000.0
MacBook Pro 16 M4 Max 2024 16CPU/40GPU/48GB/1TB - Bạc,8,75223333.33333333,64873333.333333336,-13.76,10160845.08,13990000.0,103690000.0
MacBook Pro 16 M4 Max 2024 16CPU/40GPU/48GB/1TB - Xanh Đen,7,67250000.0,72140000.0,7.27,9274711.51,18890000.0,103690000.0
"MacBook Pro M4 Max 16 inch 48GB/1TB | Chính hãng Apple, ưu đãi hấp dẫn - Xanh Đen",4,69230000.0,74356666.66666667,7.41,2563333.33,37490000.0,103690000.0
Macbook Air 13 M2 2024 8CPU/8GPU/16GB/256GB - Bạc,14,25090000.0,24673333.333333332,-1.66,888595.53,18890000.0,34490000.0
Macbook Air 13 M2 2024 8CPU/8GPU/16GB/256GB - Vàng,12,21265000.0,24022000.0,12.96,1774856.38,19250000.0,34490000.0
Macbook Air 13 M2 2024 8CPU/8GPU/16GB/256GB - Xanh Đen,18,21215000.0,22673333.333333332,6.87,1202544.14,15690000.0,29990000.0
Macbook Air 13 M2 2024 8CPU/8GPU/16GB/256GB - Xám,14,22990000.0,22140000.0,-3.7,1207952.01,18890000.0,29990000.0
Macbook Air 13 M4 2025 10CPU/10GPU/16GB/512GB - Bạc,6,34206666.666666664,30873333.333333332,-9.74,1593438.51,18890000.0,44590000.0
Macbook Air 13 M4 2025 10CPU/10GPU/16GB/512GB - Xanh Da Trời,14,31990000.0,30856666.666666668,-3.54,1416132.96,0.0,39490000.0
Macbook Air 13 M4 2025 10CPU/10GPU/16GB/512GB - Ánh Sao,6,33910000.0,27230000.0,-19.7,2750852.16,0.0,39490000.0
Macbook Air 13 M4 2025 10CPU/10GPU/16GB/512GB - Đêm Xanh Thẳm,6,30740000.0,30290000.0,-1.46,1813997.02,15690000.0,39490000.0
Macbook Air 13 M4 2025 10CPU/10GPU/24GB/512GB - Bạc,7,35723333.333333336,33856666.666666664,-5.23,730321.38,24590000.0,44590000.0
Macbook Air 13 M4 2025 10CPU/10GPU/24GB/512GB - Xanh Da Trời,14,28358333.333333332,33523333.333333332,18.21,1779141.51,0.0,39590000.0
Macbook Air 13 M4 2025 10CPU/10GPU/24GB/512GB - Ánh Sao,8,28875000.0,31423333.333333332,8.83,2257480.47,0.0,39590000.0
Macbook Air 13 M4 2025 10CPU/10GPU/24GB/512GB - Đêm Xanh Thẳm,6,34923333.333333336,32373333.333333332,-7.3,1246945.9,15690000.0,39490000.0
Macbook Air 13 M4 2025 10CPU/8GPU/16GB/256GB - Bạc,17,25256666.666666668,27756666.666666668,9.9,1255050.97,13990000.0,33590000.0
Macbook Air 13 M4 2025 10CPU/8GPU/16GB/256GB - Xanh Da Trời,24,24140000.0,25356666.666666668,5.04,872605.32,0.0,35290000.0
Macbook Air 13 M4 2025 10CPU/8GPU/16GB/256GB - Ánh Sao,14,25523333.333333332,25573333.333333332,0.2,1029768.79,0.0,30490000.0
Macbook Air 13 M4 2025 10CPU/8GPU/16GB/256GB - Đêm Xanh Thẳm,16,26315000.0,25656666.666666668,-2.5,1157378.28,15690000.0,34490000.0
Macbook Air 15 M4 2025 10CPU/ 10GPU/ 24GB/ 512GB - Bạc,12,37040000.0,35610000.0,-3.86,918961.13,24590000.0,39490000.0
