retailer,original_name,original_specs,product_key,product_name,category,variant_storage,variant_color,price,stock,url
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 256gb 16GB,Mac,256gb,Xanh Da Trời,23990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025.html?product_id=101838
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 256gb 16GB,Mac,256gb,Xanh Da Trời,29990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025-sac-70w.html?product_id=102657
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 256gb 16GB,Mac,256gb,Xanh Da Trời,28990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025.html?product_id=101852
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB Sạc 70W,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Ánh Sao 256gb 16GB,Mac,256gb,Ánh Sao,24990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025-sac-70w.html?product_id=104397
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 24GB,Mac,512gb,Xanh Da Trời,39590000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w.html?product_id=102668
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Bạc 256gb 16GB,Mac,256gb,Bạc,23990000.0,No,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025.html?product_id=101836
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Bạc 256gb 16GB,Mac,256gb,Bạc,29990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025-sac-70w.html?product_id=102658
CellphoneS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB Sạc 70W,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 256gb 16GB,Mac,256gb,Xanh Da Trời,24990000.0,No,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025-sac-70w.html?product_id=104398
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Bạc 256gb 16GB,Mac,256gb,Bạc,29090000.0,Yes,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025.html?product_id=101853
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 16GB,Mac,512gb,Xanh Da Trời,34990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025-sac-70w.html?product_id=102663
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 24GB,Mac,512gb,Xanh Da Trời,39590000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-24gb-512gb-2025-sac-70w.html?product_id=102669
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Ánh Sao 256gb 16GB,Mac,256gb,Ánh Sao,29990000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025-sac-70w.html?product_id=102659
CellphoneS,Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) (GPS) Nhôm Bạc Dây Cao Su,Watch,unknown_storage,Nhôm Bạc,4790000.0,No,https://cellphones.com.vn/apple-watch-se-2-2024-40mm-vien-nhom-day-cao-su.html
CellphoneS,Mac mini M4 2024 10CPU 10GPU 24GB 256GB,,mac_mini_m4,Mac mini (M4) Bạc 256gb 24GB,Mac,256gb,Bạc,18990000.0,No,https://cellphones.com.vn/apple-macmini-m4-10cpu-10gpu-24gb-256gb-2024-z1cf.html
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Ánh Sao 512gb 16GB,Mac,512gb,Ánh Sao,34990000.0,No,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025-sac-70w.html?product_id=102665
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 256gb 16GB,Mac,256gb,Xanh Da Trời,28990000.0,Yes,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-256gb-2025.html?product_id=101855
CellphoneS,Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) (GPS) Nhôm Vàng Hồng Dây Cao Su,Watch,unknown_storage,Nhôm Vàng Hồng,5590000.0,No,https://cellphones.com.vn/apple-watch-se-2-2024-44mm-vien-nhom-day-cao-su.html
CellphoneS,Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) (GPS) Nhôm Vàng Hồng Dây Cao Su,Watch,unknown_storage,Nhôm Vàng Hồng,4790000.0,No,https://cellphones.com.vn/apple-watch-se-2-2024-40mm-vien-nhom-day-cao-su.html?product_id=90459
CellphoneS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB,,macbook_air_15_inch_m4,MacBook Air 15 inch (M4) Xanh Da Trời 512gb 16GB,Mac,512gb,Xanh Da Trời,33490000.0,Yes,https://cellphones.com.vn/apple-macbook-air-15-m4-10cpu-10gpu-16gb-512gb-2025.html?product_id=101860
